Course ID,Course Title,Course Description,URL,Instructor,Course Rating,Number of Ratings,Course Length,Number of Lectures,Difficulty,Number of Students,Subscription Type,Price
140,The Web Developer Bootcamp 2022,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",https://www.udemy.com/course/the-web-developer-bootcamp/,Colt Steele,4.7,"228,692",63.5 total hours,612 lectures,All Levels,"764,063 students",True,949
143,The Complete 2022 Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, build real projects",https://www.udemy.com/course/the-complete-web-development-bootcamp/,Dr. Angela Yu,4.7,"175,053",55 total hours,441 lectures,All Levels,"579,227 students",True,799
146,Angular - The Complete Guide (2022 Edition),"Master Angular 13 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,4.6,"160,780",34 total hours,463 lectures,All Levels,"562,113 students",True,899
149,The Complete JavaScript Course 2022: From Zero to Expert!,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",https://www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,4.7,"130,276",69 total hours,320 lectures,All Levels,"580,944 students",True,749
152,Modern React with Redux,"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",https://www.udemy.com/course/react-redux/,Stephen Grider,4.7,"73,677",52.5 total hours,572 lectures,All Levels,"256,307 students",True,799
155,Build Responsive Real-World Websites with HTML and CSS,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,Jonas Schmedtmann,4.8,"70,785",37.5 total hours,150 lectures,All Levels,"290,342 students",True,899
158,The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",https://www.udemy.com/course/the-complete-web-developer-course-2/,"Rob Percival, Codestars by Rob Percival",4.5,"69,334",30.5 total hours,305 lectures,All Levels,"299,145 students",True,799
161,The Complete Web Developer in 2022: Zero to Mastery,"Learn to code and become a Web Developer in 2022 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,"Andrei Neagoie, Zero To Mastery",4.7,"52,701",38 total hours,387 lectures,All Levels,"179,937 students",True,949
164,Vue - The Complete Guide (incl. Router & Composition API),Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,https://www.udemy.com/course/vuejs-2-the-complete-guide/,Maximilian Schwarzmüller,4.7,"52,045",49 total hours,673 lectures,All Levels,"186,398 students",True,799
167,JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",https://www.udemy.com/course/understand-javascript/,Anthony Alicea,4.8,"43,735",12 total hours,88 lectures,All Levels,"171,395 students",True,899
170,Python and Django Full Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,Jose Portilla,4.6,"41,957",32 total hours,198 lectures,All Levels,"170,191 students",True,849
173,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",https://www.udemy.com/course/advanced-css-and-sass/,Jonas Schmedtmann,4.8,"34,775",28 total hours,126 lectures,Intermediate,"158,289 students",True,749
176,Master Microservices with Spring Boot and Spring Cloud,"Go from Restful Web Services ( REST API ) to Microservices - Java , Spring Boot , Spring Cloud , Docker and Kubernetes",https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,in28Minutes Official,4.5,"34,374",19.5 total hours,242 lectures,All Levels,"157,953 students",True,899
179,HTML and CSS for Beginners - Build a Website & Launch ONLINE,HTML and CSS for Beginners  course will give your all the knowledge you need to master HTML and CSS easily and quickly.,https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,"Edwin Diaz, Coding Faculty Solutions",4.5,"33,257",6 total hours,49 lectures,All Levels,"357,711 students",True,649
182,The Complete ASP.NET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,Mosh Hamedani,4.3,"29,976",7.5 total hours,139 lectures,All Levels,"114,119 students",True,799
