Course Title,Course Description,URL,Instructor,Course Rating,Number of Ratings,Course Length,Number of Lectures,Difficulty,Number of Students,Subscription Type,Price
The Web Developer Bootcamp 2022,"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",https://www.udemy.com/course/the-web-developer-bootcamp/,Colt Steele,4.7,228692.0,63.5,612,All Levels,764063.0,Paid,949
The Complete 2022 Web Development Bootcamp,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, build real projects",https://www.udemy.com/course/the-complete-web-development-bootcamp/,Dr. Angela Yu,4.7,175053.0,55.0,441,All Levels,579227.0,Paid,799
Angular - The Complete Guide (2022 Edition),"Master Angular 13 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,4.6,160780.0,34.0,463,All Levels,562113.0,Paid,899
The Complete JavaScript Course 2022: From Zero to Expert!,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",https://www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,4.7,130276.0,69.0,320,All Levels,580944.0,Paid,749
Modern React with Redux,"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",https://www.udemy.com/course/react-redux/,Stephen Grider,4.7,73677.0,52.5,572,All Levels,256307.0,Paid,799
Build Responsive Real-World Websites with HTML and CSS,"Learn modern HTML5, CSS3 and web design by building a stunning website for your portfolio! Includes flexbox and CSS Grid",https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,Jonas Schmedtmann,4.8,70785.0,37.5,150,All Levels,290342.0,Paid,899
The Complete Web Developer Course 2.0,"Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!",https://www.udemy.com/course/the-complete-web-developer-course-2/,"Rob Percival, Codestars by Rob Percival",4.5,69334.0,30.5,305,All Levels,299145.0,Paid,799
The Complete Web Developer in 2022: Zero to Mastery,"Learn to code and become a Web Developer in 2022 with HTML, CSS, Javascript, React, Node.js, Machine Learning & more!",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/,"Andrei Neagoie, Zero To Mastery",4.7,52701.0,38.0,387,All Levels,179937.0,Paid,949
Vue - The Complete Guide (incl. Router & Composition API),Vue.js is an awesome JavaScript Framework for building Frontend Applications! VueJS mixes the Best of Angular + React!,https://www.udemy.com/course/vuejs-2-the-complete-guide/,Maximilian Schwarzmüller,4.7,52045.0,49.0,673,All Levels,186398.0,Paid,799
JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",https://www.udemy.com/course/understand-javascript/,Anthony Alicea,4.8,43735.0,12.0,88,All Levels,171395.0,Paid,899
